iter	Passed	Remaining
0	0	420
1	1	353
2	1	285
3	2	282
4	2	280
5	3	276
6	3	276
7	4	274
8	5	273
9	5	273
10	6	273
11	6	273
12	7	272
13	7	271
14	8	271
15	8	271
16	9	270
17	10	270
18	10	269
19	11	268
20	11	269
21	12	270
22	12	269
23	13	268
24	14	268
25	14	267
26	15	267
27	15	267
28	16	266
29	16	265
30	17	264
31	18	264
32	18	264
33	19	263
34	19	262
35	20	261
36	20	261
37	21	260
38	21	259
39	22	259
40	23	258
41	23	258
42	24	257
43	24	257
44	25	256
45	25	256
46	26	256
47	27	255
48	27	255
49	28	254
50	28	253
51	29	252
52	29	252
53	30	251
