date,ticker,side,price,value_inr,pnl_inr,held_days,term
2016-07-08,JSWSTEEL,BUY,133.31,"6,234,725",,0,
2016-07-08,PETRONET,BUY,100.69,"4,472,365",,0,
2016-07-08,BAJFINANCE,BUY,79.67,"3,925,009",,0,
2016-07-08,GRASIM,BUY,661.71,"6,234,725",,0,
2016-07-08,GRANULES,BUY,134.64,"3,034,159",,0,
2016-07-08,ASIANPAINT,BUY,936.80,"5,305,536",,0,
2016-07-08,IGL,BUY,51.70,"4,043,232",,0,
2016-07-08,SHRIRAMFIN,BUY,205.84,"2,619,278",,0,
2016-07-08,M&MFIN,BUY,190.18,"2,671,272",,0,
2016-07-08,GODREJCP,BUY,503.69,"3,430,635",,0,
2016-07-08,INDUSINDBK,BUY,1069.86,"4,621,011",,0,
2016-07-08,HAVELLS,BUY,334.57,"3,285,855",,0,
2017-01-11,ASIANPAINT,SELL,868.46,"4,918,504","-387,032",187,STCG
2017-01-11,BAJFINANCE,SELL,87.05,"4,288,932","363,924",187,STCG
2017-01-11,GODREJCP,SELL,482.45,"3,285,997","-144,638",187,STCG
2017-01-11,GRANULES,SELL,99.45,"2,241,041","-793,118",187,STCG
2017-01-11,GRASIM,SELL,628.97,"5,926,226","-308,499",187,STCG
2017-01-11,HAVELLS,SELL,346.79,"3,405,833","119,978",187,STCG
2017-01-11,INDUSINDBK,SELL,1171.56,"5,060,266","439,256",187,STCG
2017-01-11,JSWSTEEL,SELL,168.88,"2,805,514","590,867",187,STCG
2017-01-11,M&MFIN,SELL,153.62,"2,157,750","-513,522",187,STCG
2017-01-11,PETRONET,SELL,127.01,"2,274,286","471,384",187,STCG
2017-01-11,SHRIRAMFIN,SELL,165.59,"2,107,113","-512,164",187,STCG
2017-01-11,IGL,BUY,82.02,"252,063",,0,
2017-01-11,HINDZINC,BUY,125.27,"6,272,579",,0,
2017-01-11,HINDALCO,BUY,165.22,"4,799,246",,0,
2017-01-11,ESCORTS,BUY,344.37,"3,371,790",,0,
2017-01-11,NMDC,BUY,19.66,"4,338,246",,0,
2017-01-11,TATASTEEL,BUY,33.71,"4,189,403",,0,
2017-01-11,MANAPPURAM,BUY,61.78,"2,588,116",,0,
2017-01-11,BPCL,BUY,120.94,"5,108,631",,0,
2017-01-11,BAJAJFINSV,BUY,300.69,"3,637,062",,0,
2017-01-11,UPL,BUY,407.68,"3,726,277",,0,
2017-07-17,BAJAJFINSV,SELL,443.11,"1,291,909","415,229",187,STCG
2017-07-17,BPCL,SELL,134.59,"5,685,457","576,826",187,STCG
2017-07-17,ESCORTS,SELL,640.78,"104,364","48,277",187,STCG
2017-07-17,HINDALCO,SELL,197.51,"5,737,424","938,178",187,STCG
2017-07-17,HINDZINC,SELL,137.52,"6,886,166","613,587",187,STCG
